timestamp,file,reward
2025-07-08T03:00:16.710378,CICIDS2018_standardized_1.csv,-1535
2025-07-08T03:00:59.780061,CICIDS2018_standardized_2.csv,169653
2025-07-08T03:01:42.493751,CICIDS2018_standardized_3.csv,-831648
2025-07-08T03:02:26.227327,CICIDS2018_standardized_4.csv,-828200
2025-07-08T03:03:10.266079,CICIDS2018_standardized_5.csv,-690928
2025-07-08T03:03:55.175132,CICIDS2018_standardized_6.csv,-445565
2025-07-08T03:04:37.054094,CICIDS2018_standardized_7.csv,-104683
2025-07-08T03:05:42.779033,CICIDS2018_standardized_8.csv,-646979
2025-07-08T03:06:41.713516,CICIDS2018_standardized_9.csv,-274762
2025-07-09T23:53:07.891853,CICIDS2018_standardized_1.csv,-607535
2025-07-09T23:56:42.598444,CICIDS2018_standardized_1.csv,-607535
2025-07-09T23:57:29.595212,CICIDS2018_standardized_2.csv,-514179
2025-07-09T23:58:16.525043,CICIDS2018_standardized_3.csv,-1502488
2025-07-09T23:59:03.612818,CICIDS2018_standardized_4.csv,-1551688
2025-07-09T23:59:52.908630,CICIDS2018_standardized_5.csv,-1527268
2025-07-10T00:00:43.736935,CICIDS2018_standardized_6.csv,-678777
2025-07-10T00:01:29.361869,CICIDS2018_standardized_7.csv,29862
2025-07-10T00:02:44.174048,CICIDS2018_standardized_8.csv,-1508456
2025-07-10T00:03:49.283105,CICIDS2018_standardized_9.csv,-616044
2025-07-10T00:11:19.388604,CICIDS2018_standardized_1.csv,-67961
2025-07-10T00:12:07.743601,CICIDS2018_standardized_2.csv,0
2025-07-10T00:18:38.844794,CICIDS2018_standardized_1.csv,-67961
2025-07-10T00:19:27.902310,CICIDS2018_standardized_2.csv,-298880
2025-07-10T00:20:11.807123,CICIDS2018_standardized_3.csv,-1047654
2025-07-10T00:20:58.618556,CICIDS2018_standardized_4.csv,-1022582
2025-07-10T00:21:44.696511,CICIDS2018_standardized_5.csv,-1037934
2025-07-10T00:22:29.997134,CICIDS2018_standardized_6.csv,0
2025-07-10T00:23:14.794781,CICIDS2018_standardized_7.csv,-291655
2025-07-10T00:24:24.678981,CICIDS2018_standardized_8.csv,-1205041
2025-07-10T00:25:30.990137,CICIDS2018_standardized_9.csv,-400462
2025-07-10T00:29:36.964441,CICIDS2018_standardized_1.csv,0
2025-07-10T00:30:22.402620,CICIDS2018_standardized_2.csv,0
2025-07-10T00:31:07.759024,CICIDS2018_standardized_3.csv,0
2025-07-10T00:31:53.630207,CICIDS2018_standardized_4.csv,0
2025-07-10T00:32:40.932257,CICIDS2018_standardized_5.csv,0
2025-07-10T00:33:31.331215,CICIDS2018_standardized_6.csv,0
2025-07-10T00:34:17.693747,CICIDS2018_standardized_7.csv,0
2025-07-10T00:35:27.232869,CICIDS2018_standardized_8.csv,0
2025-07-10T00:36:28.963405,CICIDS2018_standardized_9.csv,0
2025-07-10T00:46:20.197092,CICIDS2018_standardized_1.csv,0
2025-07-10T00:47:02.984831,CICIDS2018_standardized_2.csv,0
2025-07-10T00:47:46.548170,CICIDS2018_standardized_3.csv,0
2025-07-10T00:48:30.804153,CICIDS2018_standardized_4.csv,0
2025-07-10T00:49:19.113716,CICIDS2018_standardized_5.csv,0
2025-07-10T00:50:07.381134,CICIDS2018_standardized_6.csv,0
2025-07-10T00:50:51.773391,CICIDS2018_standardized_7.csv,0
2025-07-10T00:52:03.173034,CICIDS2018_standardized_8.csv,0
2025-07-10T00:53:07.496989,CICIDS2018_standardized_9.csv,0
2025-07-10T00:56:13.334526,CICIDS2018_standardized_1.csv,-70638
2025-07-10T00:56:59.699949,CICIDS2018_standardized_2.csv,-333708
2025-07-10T00:57:44.335313,CICIDS2018_standardized_3.csv,-1087618
2025-07-10T00:58:29.668233,CICIDS2018_standardized_4.csv,-1269854
2025-07-10T00:59:15.117140,CICIDS2018_standardized_5.csv,-1248652
2025-07-10T01:00:01.955842,CICIDS2018_standardized_6.csv,-184741
2025-07-10T01:00:46.701658,CICIDS2018_standardized_7.csv,-319271
2025-07-10T01:01:55.359890,CICIDS2018_standardized_8.csv,-1264117
2025-07-10T01:02:57.003022,CICIDS2018_standardized_9.csv,-418964
2025-07-10T01:24:16.813073,CICIDS2018_standardized_1.csv,-505512
2025-07-10T01:25:01.505060,CICIDS2018_standardized_2.csv,-400350
2025-07-10T01:25:46.260002,CICIDS2018_standardized_3.csv,-964910
2025-07-10T01:26:30.984070,CICIDS2018_standardized_4.csv,-963656
2025-07-10T01:27:16.323151,CICIDS2018_standardized_5.csv,-965120
2025-07-10T01:28:02.042199,CICIDS2018_standardized_6.csv,-540765
2025-07-10T01:28:44.962009,CICIDS2018_standardized_7.csv,-211822
2025-07-10T01:29:53.697798,CICIDS2018_standardized_8.csv,-1202340
2025-07-10T01:31:00.402823,CICIDS2018_standardized_9.csv,-594665
2025-07-10T01:37:42.050195,CICIDS2018_standardized_1.csv,-70933
2025-07-10T01:38:28.886854,CICIDS2018_standardized_2.csv,-392956
2025-07-10T01:39:15.751711,CICIDS2018_standardized_3.csv,-1435042
2025-07-10T01:40:01.998226,CICIDS2018_standardized_4.csv,-1403080
2025-07-10T02:47:35.184746,CICIDS2018_standardized_1.csv,159625
2025-07-10T02:48:20.660914,CICIDS2018_standardized_2.csv,-443322
2025-07-10T02:49:05.013160,CICIDS2018_standardized_3.csv,-1164604
2025-07-10T02:49:48.624248,CICIDS2018_standardized_4.csv,-1169596
2025-07-10T02:50:33.581880,CICIDS2018_standardized_5.csv,-1111462
2025-07-10T02:51:17.727422,CICIDS2018_standardized_6.csv,-434375
2025-07-10T02:52:00.677413,CICIDS2018_standardized_7.csv,-752996
2025-07-10T02:53:07.915351,CICIDS2018_standardized_8.csv,-1077758
2025-07-10T02:54:11.588498,CICIDS2018_standardized_9.csv,-569488
